"topic_given","sentiment_given","marginal_probability","topic_predicted","sentiment_predicted","conditional_probability","correlation","n_observations"
1,"negative",0.393548387096774,10,"neutral",0,0.354590914370558,61
1,"negative",0.393548387096774,10,"positive",0.557377049180328,0.354590914370558,61
1,"positive",0.606451612903226,2,"negative",0.382978723404255,0.429271157299886,94
1,"positive",0.606451612903226,2,"neutral",0,0.429271157299886,94
1,"positive",0.606451612903226,2,"positive",0.617021276595745,0.429271157299886,94
1,"positive",0.606451612903226,3,"negative",0.446808510638298,0.441138342128171,94
1,"positive",0.606451612903226,3,"neutral",0,0.441138342128171,94
1,"positive",0.606451612903226,3,"positive",0.553191489361702,0.441138342128171,94
1,"positive",0.606451612903226,4,"negative",0.51063829787234,0.0136390938418874,94
1,"positive",0.606451612903226,4,"neutral",0,0.0136390938418874,94
1,"positive",0.606451612903226,4,"positive",0.48936170212766,0.0136390938418874,94
1,"positive",0.606451612903226,5,"negative",0.840425531914894,-0.728470949356338,94
1,"positive",0.606451612903226,5,"neutral",0,-0.728470949356338,94
1,"positive",0.606451612903226,5,"positive",0.159574468085106,-0.728470949356338,94
1,"positive",0.606451612903226,6,"negative",0.861702127659574,-0.547364867022962,94
1,"positive",0.606451612903226,6,"neutral",0,-0.547364867022962,94
1,"positive",0.606451612903226,6,"positive",0.138297872340426,-0.547364867022962,94
1,"positive",0.606451612903226,7,"negative",0.627659574468085,-0.594872689222184,94
1,"positive",0.606451612903226,7,"neutral",0,-0.594872689222184,94
1,"positive",0.606451612903226,7,"positive",0.372340425531915,-0.594872689222184,94
1,"positive",0.606451612903226,8,"negative",0.776595744680851,-0.727134190445622,94
1,"positive",0.606451612903226,8,"neutral",0,-0.727134190445622,94
1,"positive",0.606451612903226,8,"positive",0.223404255319149,-0.727134190445622,94
1,"positive",0.606451612903226,9,"negative",0.723404255319149,-0.562672332456571,94
1,"positive",0.606451612903226,9,"neutral",0,-0.562672332456571,94
1,"positive",0.606451612903226,9,"positive",0.276595744680851,-0.562672332456571,94
1,"positive",0.606451612903226,10,"negative",0.127659574468085,0.354590914370558,94
1,"positive",0.606451612903226,10,"neutral",0,0.354590914370558,94
1,"positive",0.606451612903226,10,"positive",0.872340425531915,0.354590914370558,94
2,"negative",0.554838709677419,1,"negative",0.581395348837209,0.429271157299886,86
2,"negative",0.554838709677419,1,"neutral",0,0.429271157299886,86
2,"negative",0.554838709677419,1,"positive",0.418604651162791,0.429271157299886,86
2,"negative",0.554838709677419,3,"negative",0.767441860465116,0.340495796646686,86
2,"negative",0.554838709677419,3,"neutral",0,0.340495796646686,86
2,"negative",0.554838709677419,3,"positive",0.232558139534884,0.340495796646686,86
2,"negative",0.554838709677419,4,"negative",0.558139534883721,0.0938509408648873,86
2,"negative",0.554838709677419,4,"neutral",0,0.0938509408648873,86
2,"negative",0.554838709677419,4,"positive",0.441860465116279,0.0938509408648873,86
2,"negative",0.554838709677419,5,"negative",0.313953488372093,-0.525917676249444,86
2,"negative",0.554838709677419,5,"neutral",0,-0.525917676249444,86
2,"negative",0.554838709677419,5,"positive",0.686046511627907,-0.525917676249444,86
2,"negative",0.554838709677419,6,"negative",0.581395348837209,-0.1645297777091,86
2,"negative",0.554838709677419,6,"neutral",0,-0.1645297777091,86
2,"negative",0.554838709677419,6,"positive",0.418604651162791,-0.1645297777091,86
2,"negative",0.554838709677419,7,"negative",0.244186046511628,-0.341325428987249,86
2,"negative",0.554838709677419,7,"neutral",0,-0.341325428987249,86
2,"negative",0.554838709677419,7,"positive",0.755813953488372,-0.341325428987249,86
2,"negative",0.554838709677419,8,"negative",0.325581395348837,-0.353616937901629,86
2,"negative",0.554838709677419,8,"neutral",0,-0.353616937901629,86
2,"negative",0.554838709677419,8,"positive",0.674418604651163,-0.353616937901629,86
2,"negative",0.554838709677419,9,"negative",0.313953488372093,-0.408215127165901,86
2,"negative",0.554838709677419,9,"neutral",0,-0.408215127165901,86
2,"negative",0.554838709677419,9,"positive",0.686046511627907,-0.408215127165901,86
2,"negative",0.554838709677419,10,"negative",0.337209302325581,0.220216864775587,86
2,"negative",0.554838709677419,10,"neutral",0,0.220216864775587,86
2,"negative",0.554838709677419,10,"positive",0.662790697674419,0.220216864775587,86
2,"positive",0.445161290322581,1,"negative",0.159420289855072,0.429271157299886,69
2,"positive",0.445161290322581,1,"neutral",0,0.429271157299886,69
2,"positive",0.445161290322581,1,"positive",0.840579710144927,0.429271157299886,69
2,"positive",0.445161290322581,3,"negative",0.434782608695652,0.340495796646686,69
