"file","topic","sentiment","opinion","node"
"kandidat_18",1,"negative",-1,"topic_1_negative"
"kandidat_18",2,"negative",-1,"topic_2_negative"
"kandidat_18",3,"negative",-1,"topic_3_negative"
"kandidat_18",4,"negative",-1,"topic_4_negative"
"kandidat_18",5,"positive",1,"topic_5_positive"
"kandidat_18",6,"negative",-1,"topic_6_negative"
"kandidat_18",7,"positive",1,"topic_7_positive"
"kandidat_18",8,"negative",-1,"topic_8_negative"
"kandidat_18",9,"positive",1,"topic_9_positive"
"kandidat_18",10,"positive",1,"topic_10_positive"
"kandidat_19",1,"negative",-1,"topic_1_negative"
"kandidat_19",2,"positive",1,"topic_2_positive"
"kandidat_19",3,"negative",-1,"topic_3_negative"
"kandidat_19",4,"positive",1,"topic_4_positive"
"kandidat_19",5,"positive",1,"topic_5_positive"
"kandidat_19",6,"positive",1,"topic_6_positive"
"kandidat_19",7,"negative",-1,"topic_7_negative"
"kandidat_19",8,"negative",-1,"topic_8_negative"
"kandidat_19",9,"positive",1,"topic_9_positive"
"kandidat_19",10,"positive",1,"topic_10_positive"
"kandidat_20",1,"positive",1,"topic_1_positive"
"kandidat_20",2,"positive",1,"topic_2_positive"
"kandidat_20",3,"negative",-1,"topic_3_negative"
"kandidat_20",4,"positive",1,"topic_4_positive"
"kandidat_20",5,"negative",-1,"topic_5_negative"
"kandidat_20",6,"negative",-1,"topic_6_negative"
"kandidat_20",7,"negative",-1,"topic_7_negative"
"kandidat_20",8,"positive",1,"topic_8_positive"
"kandidat_20",9,"positive",1,"topic_9_positive"
"kandidat_20",10,"negative",-1,"topic_10_negative"
"kandidat_21",1,"negative",-1,"topic_1_negative"
"kandidat_21",2,"positive",1,"topic_2_positive"
"kandidat_21",3,"negative",-1,"topic_3_negative"
"kandidat_21",4,"positive",1,"topic_4_positive"
"kandidat_21",5,"positive",1,"topic_5_positive"
"kandidat_21",6,"negative",-1,"topic_6_negative"
"kandidat_21",7,"negative",-1,"topic_7_negative"
"kandidat_21",8,"positive",1,"topic_8_positive"
"kandidat_21",9,"positive",1,"topic_9_positive"
"kandidat_21",10,"negative",-1,"topic_10_negative"
"kandidat_22",1,"positive",1,"topic_1_positive"
"kandidat_22",2,"negative",-1,"topic_2_negative"
"kandidat_22",3,"negative",-1,"topic_3_negative"
"kandidat_22",4,"positive",1,"topic_4_positive"
"kandidat_22",5,"negative",-1,"topic_5_negative"
"kandidat_22",6,"negative",-1,"topic_6_negative"
"kandidat_22",7,"positive",1,"topic_7_positive"
"kandidat_22",8,"positive",1,"topic_8_positive"
"kandidat_22",9,"positive",1,"topic_9_positive"
"kandidat_22",10,"positive",1,"topic_10_positive"
"kandidat_23",1,"positive",1,"topic_1_positive"
"kandidat_23",2,"positive",1,"topic_2_positive"
"kandidat_23",3,"negative",-1,"topic_3_negative"
"kandidat_23",4,"positive",1,"topic_4_positive"
"kandidat_23",5,"negative",-1,"topic_5_negative"
"kandidat_23",6,"negative",-1,"topic_6_negative"
"kandidat_23",7,"negative",-1,"topic_7_negative"
"kandidat_23",8,"positive",1,"topic_8_positive"
"kandidat_23",9,"positive",1,"topic_9_positive"
"kandidat_23",10,"positive",1,"topic_10_positive"
"kandidat_24",1,"positive",1,"topic_1_positive"
"kandidat_24",2,"positive",1,"topic_2_positive"
"kandidat_24",3,"positive",1,"topic_3_positive"
"kandidat_24",4,"positive",1,"topic_4_positive"
"kandidat_24",5,"negative",-1,"topic_5_negative"
"kandidat_24",6,"negative",-1,"topic_6_negative"
"kandidat_24",7,"negative",-1,"topic_7_negative"
"kandidat_24",8,"positive",1,"topic_8_positive"
"kandidat_24",9,"positive",1,"topic_9_positive"
"kandidat_24",10,"positive",1,"topic_10_positive"
"kandidat_25",1,"negative",-1,"topic_1_negative"
"kandidat_25",2,"positive",1,"topic_2_positive"
"kandidat_25",3,"negative",-1,"topic_3_negative"
"kandidat_25",4,"positive",1,"topic_4_positive"
"kandidat_25",5,"negative",-1,"topic_5_negative"
"kandidat_25",6,"negative",-1,"topic_6_negative"
"kandidat_25",7,"negative",-1,"topic_7_negative"
"kandidat_25",8,"positive",1,"topic_8_positive"
"kandidat_25",9,"positive",1,"topic_9_positive"
"kandidat_25",10,"positive",1,"topic_10_positive"
"kandidat_26",1,"negative",-1,"topic_1_negative"
"kandidat_26",2,"negative",-1,"topic_2_negative"
"kandidat_26",3,"negative",-1,"topic_3_negative"
"kandidat_26",4,"negative",-1,"topic_4_negative"
"kandidat_26",5,"negative",-1,"topic_5_negative"
"kandidat_26",6,"negative",-1,"topic_6_negative"
"kandidat_26",7,"negative",-1,"topic_7_negative"
"kandidat_26",8,"negative",-1,"topic_8_negative"
"kandidat_26",9,"positive",1,"topic_9_positive"
"kandidat_26",10,"positive",1,"topic_10_positive"
"kandidat_27",1,"negative",-1,"topic_1_negative"
"kandidat_27",2,"negative",-1,"topic_2_negative"
"kandidat_27",3,"negative",-1,"topic_3_negative"
"kandidat_27",4,"positive",1,"topic_4_positive"
"kandidat_27",5,"positive",1,"topic_5_positive"
"kandidat_27",6,"negative",-1,"topic_6_negative"
"kandidat_27",7,"negative",-1,"topic_7_negative"
"kandidat_27",8,"positive",1,"topic_8_positive"
"kandidat_27",9,"positive",1,"topic_9_positive"
"kandidat_27",10,"positive",1,"topic_10_positive"
"kandidat_28",1,"negative",-1,"topic_1_negative"
"kandidat_28",2,"negative",-1,"topic_2_negative"
"kandidat_28",3,"negative",-1,"topic_3_negative"
"kandidat_28",4,"negative",-1,"topic_4_negative"
"kandidat_28",5,"positive",1,"topic_5_positive"
"kandidat_28",6,"negative",-1,"topic_6_negative"
"kandidat_28",7,"negative",-1,"topic_7_negative"
"kandidat_28",8,"negative",-1,"topic_8_negative"
"kandidat_28",9,"positive",1,"topic_9_positive"
"kandidat_28",10,"negative",-1,"topic_10_negative"
"kandidat_29",1,"positive",1,"topic_1_positive"
"kandidat_29",2,"positive",1,"topic_2_positive"
"kandidat_29",3,"negative",-1,"topic_3_negative"
"kandidat_29",4,"negative",-1,"topic_4_negative"
"kandidat_29",5,"negative",-1,"topic_5_negative"
"kandidat_29",6,"negative",-1,"topic_6_negative"
"kandidat_29",7,"negative",-1,"topic_7_negative"
"kandidat_29",8,"positive",1,"topic_8_positive"
"kandidat_29",9,"positive",1,"topic_9_positive"
"kandidat_29",10,"positive",1,"topic_10_positive"
"kandidat_30",1,"positive",1,"topic_1_positive"
"kandidat_30",2,"negative",-1,"topic_2_negative"
"kandidat_30",3,"negative",-1,"topic_3_negative"
"kandidat_30",4,"positive",1,"topic_4_positive"
"kandidat_30",5,"positive",1,"topic_5_positive"
"kandidat_30",6,"negative",-1,"topic_6_negative"
"kandidat_30",7,"negative",-1,"topic_7_negative"
"kandidat_30",8,"negative",-1,"topic_8_negative"
"kandidat_30",9,"positive",1,"topic_9_positive"
"kandidat_30",10,"negative",-1,"topic_10_negative"
"kandidat_31",1,"negative",-1,"topic_1_negative"
"kandidat_31",2,"positive",1,"topic_2_positive"
"kandidat_31",3,"negative",-1,"topic_3_negative"
"kandidat_31",4,"positive",1,"topic_4_positive"
"kandidat_31",5,"positive",1,"topic_5_positive"
"kandidat_31",6,"negative",-1,"topic_6_negative"
"kandidat_31",7,"negative",-1,"topic_7_negative"
"kandidat_31",8,"positive",1,"topic_8_positive"
